Minutes5DK,Minutes5UTC,CO2Emission,PriceArea
2019-12-15T22:30:00,2019-12-15T21:30:00+00:00,114,DK1
2019-12-15T22:35:00,2019-12-15T21:35:00+00:00,112,DK1
2019-12-15T22:40:00,2019-12-15T21:40:00+00:00,113,DK1
2019-12-15T22:45:00,2019-12-15T21:45:00+00:00,113,DK1
2019-12-15T22:50:00,2019-12-15T21:50:00+00:00,113,DK1
2019-12-15T22:55:00,2019-12-15T21:55:00+00:00,113,DK1
2019-12-15T23:00:00,2019-12-15T22:00:00+00:00,107,DK1
2019-12-15T23:05:00,2019-12-15T22:05:00+00:00,103,DK1
2019-12-15T23:10:00,2019-12-15T22:10:00+00:00,104,DK1
2019-12-15T23:15:00,2019-12-15T22:15:00+00:00,103,DK1
2019-12-15T23:20:00,2019-12-15T22:20:00+00:00,104,DK1
2019-12-15T23:25:00,2019-12-15T22:25:00+00:00,105,DK1
2019-12-15T23:30:00,2019-12-15T22:30:00+00:00,105,DK1
2019-12-15T23:35:00,2019-12-15T22:35:00+00:00,105,DK1
2019-12-15T23:40:00,2019-12-15T22:40:00+00:00,104,DK1
2019-12-15T23:45:00,2019-12-15T22:45:00+00:00,105,DK1
2019-12-15T23:50:00,2019-12-15T22:50:00+00:00,104,DK1
2019-12-15T23:55:00,2019-12-15T22:55:00+00:00,106,DK1
2019-12-16T00:00:00,2019-12-15T23:00:00+00:00,107,DK1
2019-12-16T00:05:00,2019-12-15T23:05:00+00:00,107,DK1
2019-12-16T00:10:00,2019-12-15T23:10:00+00:00,107,DK1
2019-12-16T00:15:00,2019-12-15T23:15:00+00:00,107,DK1
2019-12-16T00:20:00,2019-12-15T23:20:00+00:00,109,DK1
2019-12-16T00:25:00,2019-12-15T23:25:00+00:00,111,DK1
2019-12-16T00:30:00,2019-12-15T23:30:00+00:00,111,DK1
2019-12-16T00:35:00,2019-12-15T23:35:00+00:00,111,DK1
2019-12-16T00:40:00,2019-12-15T23:40:00+00:00,111,DK1
2019-12-16T00:45:00,2019-12-15T23:45:00+00:00,111,DK1
2019-12-16T00:50:00,2019-12-15T23:50:00+00:00,111,DK1
2019-12-16T00:55:00,2019-12-15T23:55:00+00:00,112,DK1
2019-12-16T01:00:00,2019-12-16T00:00:00+00:00,114,DK1
2019-12-16T01:05:00,2019-12-16T00:05:00+00:00,115,DK1
2019-12-16T01:10:00,2019-12-16T00:10:00+00:00,116,DK1
2019-12-16T01:15:00,2019-12-16T00:15:00+00:00,114,DK1
2019-12-16T01:20:00,2019-12-16T00:20:00+00:00,116,DK1
2019-12-16T01:25:00,2019-12-16T00:25:00+00:00,116,DK1
2019-12-16T01:30:00,2019-12-16T00:30:00+00:00,116,DK1
2019-12-16T01:35:00,2019-12-16T00:35:00+00:00,116,DK1
2019-12-16T01:40:00,2019-12-16T00:40:00+00:00,115,DK1
2019-12-16T01:45:00,2019-12-16T00:45:00+00:00,116,DK1
2019-12-16T01:50:00,2019-12-16T00:50:00+00:00,116,DK1
2019-12-16T01:55:00,2019-12-16T00:55:00+00:00,116,DK1
2019-12-16T02:00:00,2019-12-16T01:00:00+00:00,117,DK1
2019-12-16T02:05:00,2019-12-16T01:05:00+00:00,116,DK1
2019-12-16T02:10:00,2019-12-16T01:10:00+00:00,117,DK1
2019-12-16T02:15:00,2019-12-16T01:15:00+00:00,118,DK1
2019-12-16T02:20:00,2019-12-16T01:20:00+00:00,121,DK1
2019-12-16T02:25:00,2019-12-16T01:25:00+00:00,122,DK1
2019-12-16T02:30:00,2019-12-16T01:30:00+00:00,122,DK1
2019-12-16T02:35:00,2019-12-16T01:35:00+00:00,122,DK1
2019-12-16T02:40:00,2019-12-16T01:40:00+00:00,124,DK1
2019-12-16T02:45:00,2019-12-16T01:45:00+00:00,125,DK1
2019-12-16T02:50:00,2019-12-16T01:50:00+00:00,123,DK1
2019-12-16T02:55:00,2019-12-16T01:55:00+00:00,122,DK1
2019-12-16T03:00:00,2019-12-16T02:00:00+00:00,122,DK1
2019-12-16T03:05:00,2019-12-16T02:05:00+00:00,127,DK1
2019-12-16T03:10:00,2019-12-16T02:10:00+00:00,126,DK1
2019-12-16T03:15:00,2019-12-16T02:15:00+00:00,122,DK1
2019-12-16T03:20:00,2019-12-16T02:20:00+00:00,126,DK1
2019-12-16T03:25:00,2019-12-16T02:25:00+00:00,146,DK1
2019-12-16T03:30:00,2019-12-16T02:30:00+00:00,136,DK1
2019-12-16T03:35:00,2019-12-16T02:35:00+00:00,130,DK1
2019-12-16T03:40:00,2019-12-16T02:40:00+00:00,138,DK1
